iso,X1850,X1855,X1860,X1865,X1870,X1875,X1880,X1885,X1890,X1895,X1900,X1905,X1910,X1915,X1920,X1925,X1930,X1935,X1940,X1945,X1950,X1955,X1960,X1965,X1970,X1975,X1980,X1985,X1990,X1995,X2000,X2005,X2010
afg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,23,48,144,164,150,NA,NA,NA,NA,NA,NA,NA
ago,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,30,45,20,17,NA,NA,NA,NA,NA,NA,NA,NA
alb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,203,303,352,627,913,1580,2370,1501,66,69,78,248
are,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,236,1162
arg,NA,NA,NA,NA,NA,NA,NA,NA,516,854,780,2300.7,4134.8,3229.3,2464.6,3493,3170.2,2447.1,2078,799.9,1473,1252,1577,1031,1327,1467,1297,1130,1344,1403,1176,1424,1503
arm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,552,3,NA,NA,NA
aus,NA,25.1,106,159.3,227,312.6,832.6,1095.8,1338.1,1731,3787.9,6721.8,8624,10087.7,11327.9,12360.6,10096.6,11470.6,14205.4,16155.2,24808,29418,35505,44001,44370,55412,63984,76354,93508,101061,127168,137945,139063
aut,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6537,8443,8102,6260,3928.2,2138,9229,11050.7,9918.3,9200.1,7746,7370.8,6148,7040,6659,5135,5105,5325,3815
aze,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200,6,NA,NA,NA
bdi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
bel,3517.1,5042,5734.3,7184.5,9327.8,10150.5,11467.5,12469.7,15010.6,15126,18720.5,18945.8,23100.9,12972.9,20871.9,29244.5,34299.1,25851.9,23635.1,14653.9,25270,26561,24093,24875,18121,12425,17015,15717,16141,12526,9729,7170,4914
bgd,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,250,235,98,563,642,660,742,1257
bgr,NA,NA,NA,NA,NA,NA,1,6,25,62,140,222,354,534,762,1241,1602,1663,2766,3563,5928,9411,15943,27598.9,29974,30328,32544,34642,33916,31498,26782,26626,30399
bih,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1640,7437,9455,12040
blr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2992,1455,733,360,368
bmu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1.25,1.5,1.75,2,NA,NA,NA,NA,NA,NA,NA
bol,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,3,1,1,1,NA,NA,NA,NA,NA,NA,NA
bra,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1055,1582,1184.6,1373.6,2025.5,2062.8,2006.1,2249.3,2403.7,3042,2796,2312,3234,4755,5448,8728,15542,15234,17000,20193,19848,21662
brb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
brn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.1,0.1,0.1,0.1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
btn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,2.1,1.9,1.8,1.7,1.3,0.9,1,0.9,0.5,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bwa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.7,65.5,64.1,61.1,55.9,44.8,32.3,35.5,26.5,15.9,1.3,0.1,23.73333333,47.36666667,71,268.5,466,815,912,1041,1019,811
can,22,56,144,366,423,673,1918,3070,4559,4988,7632,13625.9,19679.4,22257.4,30632.6,26485,30361,24336.7,32644.6,38680.8,41362,30692,21533,24447,24319,24664.1,37565,47800,48642,51772,62051,58800,49842
che,NA,NA,114,263,321,465,603,740,1035.3,1385,2057,2267,2838,3312,2647,2739,3148,3088,2677,239,1789.1,1941.1,1953,1187.1,364,116,132.8333333,149.6666667,166.5,183.3333333,200.1666667,217,228
chl,NA,NA,NA,NA,NA,NA,NA,NA,NA,197.2,320.4,871.3,1190.2,1335,1282.1,1727.7,1687.4,1873.4,1910.9,2049.9,1946,2197,1690,1794,1740,1318,1675,1806,3721,3391,4589,4571,8435
chn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,866.1,7067.2,6064,10089.5,12522.1,14202.9,21486.4,31654.5,18767.5,41073.4,97341.8,396636.8,230121.1,353788.2,484690.1,597260,752254,958542,1318885,1305122,2149644,2891227
cmr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,1.3,1.3,1.3,1.6,1.7,2.1,2.3,2.1,10.2,5.6,1,1,1,1,NA,NA,NA,NA,NA,NA,NA
cod,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,65,134,11,24,50,311,649,327,390,237,176,167,156,169,136,132,160,209
col,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,378,522,535,1010,1850,2600,2800,2263,3443,3343,3916,4640,5229,4826,4042,5129
cpv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cri,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,2,1
csk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27330.4,27496.6,29731.1,23055,40239.5,25390.8,47261,64208.9,83661,101932,101361,107397,NA,NA,NA,NA,NA,NA,NA
cub,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,32,43,91,65,57,95,126,153,77,22,22,13
cyp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,13.16666667,25.33333333,37.5,49.66666667,61.83333333,74,97,97,49,53,27
cze,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63929,59275,54719,50960
deu,6965,12765,16731,28553,34003,45157,57414.4,70743,90817,105894,149856,178999,212970,234815,238643,268727,273733.7,269489.1,398059,65283.9,328847,445887,475930,506092,465045,601455,NA,NA,NA,NA,NA,NA,NA
dnk,128,171,205,383,431,550,702,955,1081,1328,1940,2265,2771,3890,2711,4041,5059,5437,4191.5,2257.7,6600.5,7802.5,8224.3,6762.5,3641,3889,9864,11907,9991,11006,6610,6276,6637
dom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,112.5,224,17,80,93,476,747
dza,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,367,973,1392.3,922,592.9,482.4,829,666,475,91,83,45,93,1226,1005,632,689,819,NA
egy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,218.9,199.5,174.9,145.5,111.8,80.6,81.1,68.3,58.9,222,103,45,409,495,1514,878,1174,1292,1475,1745,1735,1558
esp,186,208,739.9,891.9,1183.4,1253.2,1648.7,2123.4,2735.3,3222.1,4240.6,5195.5,5744,5930.4,5667,7577.7,8484.3,7474.5,8284.9,10570.6,12946,14683,15833,17409,16657,17841,31153,48378,46887,42677,45612,44003,14344
est,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25692,12328,11351,12233,14056
eth,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,11,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
fin,NA,NA,14,23,33,30,34,76,69,74,204,189,362,7,90,612,917,1222,690,111,1564,2244,2945,2835,3249,4014,8280,9222,10457,13456,11333,11256,16289
fji,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,18,7,3,10,17,NA,NA,NA,NA,NA,NA,NA
fra,7225,12293,14264,18470,18980,24567,28700,29922,36746,38567,48655,57023.3,64345.6,44972.9,61575.7,78540,90089.4,68719.9,49489.3,40871.3,60186,62101,66954,65626,49967,37497,47679,36815,29019,21986,20481,NA,NA
fro,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,7,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA
gbr,54140,57600,74164,90723,100862,119780,130997,138834,155329,160480,183998,191679,205595,213029,207873,196606,192020,186470,207937,182339,206008,225283,192666,187813,149526,119878,121745,102076,104926,75369,58930,60625,50264
geo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1325,42,19,18,83
gha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,123,38,27,32,10,NA,NA,NA,NA,NA,NA,NA
gib,NA,NA,NA,NA,NA,NA,1,1,1,1,1,2,2,2,1,1,2,1,2,2,231,43,10,5,2,1,NA,NA,NA,NA,NA,NA,NA
glp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,44.8,68.8,94.2,122.8,139.4,128.2,134.3,70.2,12.3,7.9,1.1,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
grc,NA,NA,NA,NA,76,68,80.25,92.5,104.75,117,168,114,271,40,409,772,957,836.9,250,70,464,1089,2757,5291,15265,17205,21634,36743,52504,58251,65449,70248,58318
grd,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.3,17.4,14.7,9.9,6.1,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
grl,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,33,46,29,29,NA,NA,NA,NA,NA,NA,NA,NA
gtm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,70.25,118.5,166.75,215,409,491
guy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
hkg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5162,9883,9725,6879,10824,10324
hnd,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135,183,107
hrv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,330,703,1140,1171
hti,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,12,NA,NA,NA,NA
hun,NA,247,475,619,1139,1452.1,1818.1,2543.1,3247.2,4543.3,6497.4,6934.4,8664.6,9355.9,5423.7,7650.4,8985.3,8959.5,12817.7,4802.3,14922.9,26098.1,32530.4,40437.8,27885,25289,26033,23719,18425,16619,15080,11525,10988
idn,NA,NA,NA,NA,NA,NA,NA,NA,6,129,203,521.5,743.7,805.2,1255.3,1536,1959.9,1126.3,2026.7,316.2,767,800,686,287,991.1,220,128,2027,8224,12262,24739,41321,59920
ind,NA,NA,268.5,235.6,403.6333333,571.6666667,739.7,938.9,1573.7,2566.1,4438.2,8076.9,10310.5,13801.4,14241.1,16233.6,18109.9,17295.4,21978.4,21643,30893.1,37320.1,51332,68541,74430,95362,105181,152012,215484,289890,351446,458915,637958
irl,149,146.3333333,143.6666667,141,138.3333333,135.6666667,133,124.3333333,115.6666667,107,98.33333333,89.66666667,81,86,110,2275,2547.6,2402,2924.3,1153.7,2173,1953,1862,1480,5443,3292,6091,7289,8393,7412,6162,6278,5205
irn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92,150,200,244,230,285,530,1095,1783,1444,1061,1546,1748,1996,1298
irq,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
isl,9,10,11,12,13,14,15,16,17,18,20,22,24,26,29,32,36,39,42,47,95,61,27.9,17.1,1,6.5,12,69,65,65,101,117,106
isr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,17,35,3,19.6,4,1465.5,2927,4023,7049,10705,13123,12730
ita,NA,NA,30,493,1001,1177,1877,3147,4731,4610,5427,6910.4,9921.6,9334.6,7357.4,11820,13756.4,15669.6,18245.3,2295.6,9897,11847,11260,12173.8,13272,13456,18397,23914,22229,16283,17151,22873,20691
jam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,17,11.66666667,6.333333333,1,13.75,26.5,39.25,52,55,53,59,54
