FLOW,PRODUCT,activity,fuel,comment,Detailed_activity
INDPROD,Brown coal (if no detail) (kt),coal-production,process,,
INDPROD,Lignite (kt),coal-production,process,,
INDPROD,Peat (kt),coal-production,process,,
INDPROD,Hard coal (if no detail) (kt),coal-production,process,,
INDPROD,Anthracite (kt),coal-production,process,,
INDPROD,Coking coal (kt),coal-production,process,,
INDPROD,Other bituminous coal (kt),coal-production,process,,
INDPROD,Sub-bituminous coal (kt),coal-production,process,,
INDPROD,Natural gas (TJ-gross),natural_gas-production,process,,
INDPROD,Natural Gas (TJ-gross),natural_gas-production,process,,
INDPROD,Crude oil (kt),crude-oil-production,process,,
INDPROD,Oil shale and oil sands (kt),crude-oil-production,process,,
,,,,,
DOMSUP,Crude oil (kt),refinery-and-natural-gas,process,Include primary fuel only,crude_oil-dom-supply
DOMSUP,Oil shale and oil sands (kt),refinery-and-natural-gas,process,Include primary fuel only,crude_oil-dom-supply
DOMSUP,Industrial waste (TJ-net),biomass-dom-supply,process,Include primary fuel only,
DOMSUP,Municipal waste (renewable) (TJ-net),biomass-dom-supply,process,Include primary fuel only,
DOMSUP,Municipal waste (non-renewable) (TJ-net),biomass-dom-supply,process,Include primary fuel only,
DOMSUP,Primary solid biofuels (TJ-net),biomass-dom-supply,process,Include primary fuel only,
DOMSUP,Non-specified primary biofuels/waste (TJ-net),biomass-dom-supply,process,Include primary fuel only,
DOMSUP,Brown coal (if no detail) (kt),coal-dom-supply,process,Include primary fuel only,brown_coal-dom-supply
DOMSUP,Lignite (kt),coal-dom-supply,process,Include primary fuel only,brown_coal-dom-supply
DOMSUP,Peat (kt),coal-dom-supply,process,Include primary fuel only,brown_coal-dom-supply
DOMSUP,Coke oven coke (kt),coal-coke-dom-supply,process,,coal-coke-dom-supply
DOMSUP,Hard coal (if no detail) (kt),coal-dom-supply,process,Include primary fuel only,hard_coal-dom-supply
DOMSUP,Anthracite (kt),coal-dom-supply,process,Include primary fuel only,hard_coal-dom-supply
DOMSUP,Coking coal (kt),coal-dom-supply,process,Include primary fuel only,hard_coal-dom-supply
DOMSUP,Other bituminous coal (kt),coal-dom-supply,process,Include primary fuel only,hard_coal-dom-supply
DOMSUP,Sub-bituminous coal (kt),coal-dom-supply,process,Include primary fuel only,hard_coal-dom-supply
INDPROD,Natural gas (TJ-gross),refinery-and-natural-gas,process,Include primary fuel only,natural_gas-dom-supply
INDPROD,Natural Gas (TJ-gross),refinery-and-natural-gas,process,Include primary fuel only,natural_gas-dom-supply
,,,,,
TCOKEOVS,Hard coal (if no detail) (kt),coke-oven-coal-consumption,process,,
TCOKEOVS,Coking coal (kt),coke-oven-coal-consumption,process,,
TCOKEOVS,Brown coal (if no detail) (kt),coke-oven-coal-consumption,process,,
TCOKEOVS,Anthracite (kt),coke-oven-coal-consumption,process,,
TCOKEOVS,Other bituminous coal (kt),coke-oven-coal-consumption,process,,
TCOKEOVS,Sub-bituminous coal (kt),coke-oven-coal-consumption,process,,
TCOKEOVS,Lignite (kt),coke-oven-coal-consumption,process,,
TCOKEOVS,BKB/peat briquettes (kt),coke-oven-coal-consumption,process,,
TCOKEOVS,Patent fuel (kt),coke-oven-coal-consumption,process,,
TREFINER,Natural gas liquids (kt),refinery-and-natural-gas,process,,refinery-consumption
TREFINER,Refinery feedstocks (kt),refinery-and-natural-gas,process,,refinery-consumption
TREFINER,Additives/blending components (kt),refinery-and-natural-gas,process,,refinery-consumption
TREFINER,Other hydrocarbons (kt),refinery-and-natural-gas,process,,refinery-consumption
,,,,,
IMPORTS,Gas works gas (TJ-gross),natural_gas-adl-dom-supply,process,,
IMPORTS,Coke oven gas (TJ-gross),natural_gas-adl-dom-supply,process,,
IMPORTS,Blast furnace gas (TJ-gross),natural_gas-adl-dom-supply,process,,
IMPORTS,Other recovered gases (TJ-gross),natural_gas-adl-dom-supply,process,,
IMPORTS,Refinery gas (kt),natural_gas-adl-dom-supply,process,,
IMPORTS,Biogases (TJ-net),natural_gas-adl-dom-supply,process,,
,,,,,
EXPORTS,Gas works gas (TJ-gross),natural_gas-adl-dom-supply,process,,
EXPORTS,Coke oven gas (TJ-gross),natural_gas-adl-dom-supply,process,,
EXPORTS,Blast furnace gas (TJ-gross),natural_gas-adl-dom-supply,process,,
EXPORTS,Other recovered gases (TJ-gross),natural_gas-adl-dom-supply,process,,
EXPORTS,Refinery gas (kt),natural_gas-adl-dom-supply,process,,
EXPORTS,Biogases (TJ-net),natural_gas-adl-dom-supply,process,,
,,,,,
STOCKCHA,Gas works gas (TJ-gross),natural_gas-adl-dom-supply,process,,
STOCKCHA,Coke oven gas (TJ-gross),natural_gas-adl-dom-supply,process,,
STOCKCHA,Blast furnace gas (TJ-gross),natural_gas-adl-dom-supply,process,,
STOCKCHA,Other recovered gases (TJ-gross),natural_gas-adl-dom-supply,process,,
STOCKCHA,Refinery gas (kt),natural_gas-adl-dom-supply,process,,
STOCKCHA,Biogases (TJ-net),natural_gas-adl-dom-supply,process,,
,,,,,
IMPORTS,Patent fuel (kt),hard_coal-adl-dom-supply,process,,
IMPORTS,Gas coke (kt),hard_coal-adl-dom-supply,process,,
IMPORTS,Coal tar (kt),hard_coal-adl-dom-supply,process,,
IMPORTS,BKB (kt),hard_coal-adl-dom-supply,process,,
,,,,,
EXPORTS,Patent fuel (kt),hard_coal-adl-dom-supply,process,,
EXPORTS,Gas coke (kt),hard_coal-adl-dom-supply,process,,
EXPORTS,Coal tar (kt),hard_coal-adl-dom-supply,process,,
EXPORTS,BKB (kt),hard_coal-adl-dom-supply,process,,
,,,,,
STOCKCHA,Patent fuel (kt),hard_coal-adl-dom-supply,process,,
STOCKCHA,Gas coke (kt),hard_coal-adl-dom-supply,process,,
STOCKCHA,Coal tar (kt),hard_coal-adl-dom-supply,process,,
STOCKCHA,BKB (kt),hard_coal-adl-dom-supply,process,,
,,,,,
IMPORTS,Crude/NGL/feedstocks (if no detail) (kt),heavy_oil-adl-dom-supply,process,,
IMPORTS,Fuel oil (kt),heavy_oil-adl-dom-supply,process,,
IMPORTS,Bitumen (kt),heavy_oil-adl-dom-supply,process,,
IMPORTS,Paraffin waxes (kt),heavy_oil-adl-dom-supply,process,,
IMPORTS,Petroleum coke (kt),heavy_oil-adl-dom-supply,process,,
IMPORTS,Other oil products (kt),heavy_oil-adl-dom-supply,process,,
,,,,,
EXPORTS,Crude/NGL/feedstocks (if no detail) (kt),heavy_oil-adl-dom-supply,process,,
EXPORTS,Fuel oil (kt),heavy_oil-adl-dom-supply,process,,
EXPORTS,Bitumen (kt),heavy_oil-adl-dom-supply,process,,
EXPORTS,Paraffin waxes (kt),heavy_oil-adl-dom-supply,process,,
EXPORTS,Petroleum coke (kt),heavy_oil-adl-dom-supply,process,,
EXPORTS,Other oil products (kt),heavy_oil-adl-dom-supply,process,,
,,,,,
STOCKCHA,Crude/NGL/feedstocks (if no detail) (kt),heavy_oil-adl-dom-supply,process,,
STOCKCHA,Fuel oil (kt),heavy_oil-adl-dom-supply,process,,
STOCKCHA,Bitumen (kt),heavy_oil-adl-dom-supply,process,,
STOCKCHA,Paraffin waxes (kt),heavy_oil-adl-dom-supply,process,,
STOCKCHA,Petroleum coke (kt),heavy_oil-adl-dom-supply,process,,
STOCKCHA,Other oil products (kt),heavy_oil-adl-dom-supply,process,,
,,,,,
TRANSFER,Crude/NGL/feedstocks (if no detail) (kt),heavy_oil-adl-dom-supply,process,,
TRANSFER,Fuel oil (kt),heavy_oil-adl-dom-supply,process,,
TRANSFER,Bitumen (kt),heavy_oil-adl-dom-supply,process,,
TRANSFER,Paraffin waxes (kt),heavy_oil-adl-dom-supply,process,,
TRANSFER,Petroleum coke (kt),heavy_oil-adl-dom-supply,process,,
TRANSFER,Other oil products (kt),heavy_oil-adl-dom-supply,process,,
,,,,,
IMPORTS,Refinery feedstocks (kt),light_oil-adl-dom-supply,process,,
IMPORTS,Additives/blending components (kt),light_oil-adl-dom-supply,process,,
IMPORTS,Other hydrocarbons (kt),light_oil-adl-dom-supply,process,,
IMPORTS,Ethane (kt),light_oil-adl-dom-supply,process,,
IMPORTS,Liquefied petroleum gases (LPG) (kt),light_oil-adl-dom-supply,process,,
IMPORTS,Motor gasoline excl. biofuels (kt),light_oil-adl-dom-supply,process,,
IMPORTS,Aviation gasoline (kt),light_oil-adl-dom-supply,process,,
IMPORTS,Gasoline type jet fuel (kt),light_oil-adl-dom-supply,process,,
IMPORTS,Kerosene type jet fuel excl. biofuels (kt),light_oil-adl-dom-supply,process,,
IMPORTS,Other kerosene (kt),light_oil-adl-dom-supply,process,,
IMPORTS,Other Kerosene (kt),light_oil-adl-dom-supply,process,,
IMPORTS,Naphtha (kt),light_oil-adl-dom-supply,process,,
IMPORTS,White spirit & SBP (kt),light_oil-adl-dom-supply,process,,
IMPORTS,Biogasoline (kt),light_oil-adl-dom-supply,process,,
IMPORTS,Other liquid biofuels (kt),light_oil-adl-dom-supply,process,,
,,,,,
EXPORTS,Refinery feedstocks (kt),light_oil-adl-dom-supply,process,,
EXPORTS,Additives/blending components (kt),light_oil-adl-dom-supply,process,,
EXPORTS,Other hydrocarbons (kt),light_oil-adl-dom-supply,process,,
EXPORTS,Ethane (kt),light_oil-adl-dom-supply,process,,
EXPORTS,Liquefied petroleum gases (LPG) (kt),light_oil-adl-dom-supply,process,,
EXPORTS,Motor gasoline excl. biofuels (kt),light_oil-adl-dom-supply,process,,
EXPORTS,Aviation gasoline (kt),light_oil-adl-dom-supply,process,,
EXPORTS,Gasoline type jet fuel (kt),light_oil-adl-dom-supply,process,,
EXPORTS,Kerosene type jet fuel excl. biofuels (kt),light_oil-adl-dom-supply,process,,
EXPORTS,Other kerosene (kt),light_oil-adl-dom-supply,process,,
EXPORTS,Other Kerosene (kt),light_oil-adl-dom-supply,process,,
EXPORTS,Naphtha (kt),light_oil-adl-dom-supply,process,,
EXPORTS,White spirit & SBP (kt),light_oil-adl-dom-supply,process,,
EXPORTS,Biogasoline (kt),light_oil-adl-dom-supply,process,,
EXPORTS,Other liquid biofuels (kt),light_oil-adl-dom-supply,process,,
,,,,,
STOCKCHA,Refinery feedstocks (kt),light_oil-adl-dom-supply,process,,
STOCKCHA,Additives/blending components (kt),light_oil-adl-dom-supply,process,,
STOCKCHA,Other hydrocarbons (kt),light_oil-adl-dom-supply,process,,
STOCKCHA,Ethane (kt),light_oil-adl-dom-supply,process,,
STOCKCHA,Liquefied petroleum gases (LPG) (kt),light_oil-adl-dom-supply,process,,
STOCKCHA,Motor gasoline excl. biofuels (kt),light_oil-adl-dom-supply,process,,
STOCKCHA,Aviation gasoline (kt),light_oil-adl-dom-supply,process,,
STOCKCHA,Gasoline type jet fuel (kt),light_oil-adl-dom-supply,process,,
STOCKCHA,Kerosene type jet fuel excl. biofuels (kt),light_oil-adl-dom-supply,process,,
STOCKCHA,Other kerosene (kt),light_oil-adl-dom-supply,process,,
STOCKCHA,Other Kerosene (kt),light_oil-adl-dom-supply,process,,
STOCKCHA,Naphtha (kt),light_oil-adl-dom-supply,process,,
STOCKCHA,White spirit & SBP (kt),light_oil-adl-dom-supply,process,,
STOCKCHA,Biogasoline (kt),light_oil-adl-dom-supply,process,,
STOCKCHA,Other liquid biofuels (kt),light_oil-adl-dom-supply,process,,
,,,,,
TRANSFER,Refinery feedstocks (kt),light_oil-adl-dom-supply,process,,
TRANSFER,Additives/blending components (kt),light_oil-adl-dom-supply,process,,
TRANSFER,Other hydrocarbons (kt),light_oil-adl-dom-supply,process,,
TRANSFER,Ethane (kt),light_oil-adl-dom-supply,process,,
TRANSFER,Liquefied petroleum gases (LPG) (kt),light_oil-adl-dom-supply,process,,
TRANSFER,Motor gasoline excl. biofuels (kt),light_oil-adl-dom-supply,process,,
TRANSFER,Aviation gasoline (kt),light_oil-adl-dom-supply,process,,
TRANSFER,Gasoline type jet fuel (kt),light_oil-adl-dom-supply,process,,
TRANSFER,Kerosene type jet fuel excl. biofuels (kt),light_oil-adl-dom-supply,process,,
TRANSFER,Other kerosene (kt),light_oil-adl-dom-supply,process,,
TRANSFER,Other Kerosene (kt),light_oil-adl-dom-supply,process,,
TRANSFER,Naphtha (kt),light_oil-adl-dom-supply,process,,
TRANSFER,White spirit & SBP (kt),light_oil-adl-dom-supply,process,,
TRANSFER,Biogasoline (kt),light_oil-adl-dom-supply,process,,
TRANSFER,Other liquid biofuels (kt),light_oil-adl-dom-supply,process,,
,,,,,
IMPORTS,Natural gas liquids (kt),diesel_oil-adl-dom-supply,process,,
IMPORTS,Gas/diesel oil excl. biofuels (kt),diesel_oil-adl-dom-supply,process,,
IMPORTS,Lubricants (kt),diesel_oil-adl-dom-supply,process,,
IMPORTS,Biodiesels (kt),diesel_oil-adl-dom-supply,process,,
,,,,,
EXPORTS,Natural gas liquids (kt),diesel_oil-adl-dom-supply,process,,
EXPORTS,Gas/diesel oil excl. biofuels (kt),diesel_oil-adl-dom-supply,process,,
EXPORTS,Lubricants (kt),diesel_oil-adl-dom-supply,process,,
EXPORTS,Biodiesels (kt),diesel_oil-adl-dom-supply,process,,
,,,,,
STOCKCHA,Natural gas liquids (kt),diesel_oil-adl-dom-supply,process,,
STOCKCHA,Gas/diesel oil excl. biofuels (kt),diesel_oil-adl-dom-supply,process,,
STOCKCHA,Lubricants (kt),diesel_oil-adl-dom-supply,process,,
STOCKCHA,Biodiesels (kt),diesel_oil-adl-dom-supply,process,,
,,,,,
TRANSFER,Natural gas liquids (kt),diesel_oil-adl-dom-supply,process,,
TRANSFER,Gas/diesel oil excl. biofuels (kt),diesel_oil-adl-dom-supply,process,,
TRANSFER,Lubricants (kt),diesel_oil-adl-dom-supply,process,,
TRANSFER,Biodiesels (kt),diesel_oil-adl-dom-supply,process,,
,,,,,
IMPORTS,Natural gas (TJ-gross),natural_gas-adl-dom-supply,process,,
IMPORTS,Natural Gas (TJ-gross),natural_gas-adl-dom-supply,process,,
,,,,,
EXPORTS,Natural gas (TJ-gross),natural_gas-adl-dom-supply,process,,
EXPORTS,Natural Gas (TJ-gross),natural_gas-adl-dom-supply,process,,
,,,,,
STOCKCHA,Natural gas (TJ-gross),natural_gas-adl-dom-supply,process,,
STOCKCHA,Natural Gas (TJ-gross),natural_gas-adl-dom-supply,process,,
,,,,,
TRANSFER,Natural gas (TJ-gross),natural_gas-adl-dom-supply,process,,
TRANSFER,Natural Gas (TJ-gross),natural_gas-adl-dom-supply,process,,
TRANSFER,Gas works gas (TJ-gross),natural_gas-adl-dom-supply,process,,
TRANSFER,Coke oven gas (TJ-gross),natural_gas-adl-dom-supply,process,,
TRANSFER,Blast furnace gas (TJ-gross),natural_gas-adl-dom-supply,process,,
TRANSFER,Other recovered gases (TJ-gross),natural_gas-adl-dom-supply,process,,
TRANSFER,Refinery gas (kt),natural_gas-adl-dom-supply,process,,
TRANSFER,Biogases (TJ-net),natural_gas-adl-dom-supply,process,,
,,,,,
INDPROD,Natural gas liquids (kt),diesel_oil-dom-prod,process,,
INDPROD,Gas/diesel oil excl. biofuels (kt),diesel_oil-dom-prod,process,,
INDPROD,Lubricants (kt),diesel_oil-dom-prod,process,,
INDPROD,Biodiesels (kt),diesel_oil-dom-prod,process,,
,,,,,
INDPROD,Refinery feedstocks (kt),light_oil-dom-prod,process,,
INDPROD,Additives/blending components (kt),light_oil-dom-prod,process,,
INDPROD,Other hydrocarbons (kt),light_oil-dom-prod,process,,
INDPROD,Ethane (kt),light_oil-dom-prod,process,,
INDPROD,Liquefied petroleum gases (LPG) (kt),light_oil-dom-prod,process,,
INDPROD,Motor gasoline excl. biofuels (kt),light_oil-dom-prod,process,,
INDPROD,Aviation gasoline (kt),light_oil-dom-prod,process,,
INDPROD,Gasoline type jet fuel (kt),light_oil-dom-prod,process,,
INDPROD,Kerosene type jet fuel excl. biofuels (kt),light_oil-dom-prod,process,,
INDPROD,Other kerosene (kt),light_oil-dom-prod,process,,
INDPROD,Other Kerosene (kt),light_oil-dom-prod,process,,
INDPROD,Naphtha (kt),light_oil-dom-prod,process,,
INDPROD,White spirit & SBP (kt),light_oil-dom-prod,process,,
INDPROD,Biogasoline (kt),light_oil-dom-prod,process,,
INDPROD,Other liquid biofuels (kt),light_oil-dom-prod,process,,
,,,,,
INDPROD,Crude/NGL/feedstocks (if no detail) (kt),heavy_oil-dom-prod,process,,
INDPROD,Fuel oil (kt),heavy_oil-dom-prod,process,,
INDPROD,Bitumen (kt),heavy_oil-dom-prod,process,,
INDPROD,Paraffin waxes (kt),heavy_oil-dom-prod,process,,
INDPROD,Petroleum coke (kt),heavy_oil-dom-prod,process,,
INDPROD,Other oil products (kt),heavy_oil-dom-prod,process,,
,,,,,
NONENUSE,Natural gas liquids (kt),diesel_oil-non-energy-use,process,,
NONENUSE,Gas/diesel oil excl. biofuels (kt),diesel_oil-non-energy-use,process,,
NONENUSE,Lubricants (kt),diesel_oil-non-energy-use,process,,
NONENUSE,Biodiesels (kt),diesel_oil-non-energy-use,process,,
,,,,,
NONENUSE,Refinery feedstocks (kt),light_oil-non-energy-use,process,,
NONENUSE,Additives/blending components (kt),light_oil-non-energy-use,process,,
NONENUSE,Other hydrocarbons (kt),light_oil-non-energy-use,process,,
NONENUSE,Ethane (kt),light_oil-non-energy-use,process,,
NONENUSE,Liquefied petroleum gases (LPG) (kt),light_oil-non-energy-use,process,,
NONENUSE,Motor gasoline excl. biofuels (kt),light_oil-non-energy-use,process,,
NONENUSE,Aviation gasoline (kt),light_oil-non-energy-use,process,,
NONENUSE,Gasoline type jet fuel (kt),light_oil-non-energy-use,process,,
NONENUSE,Kerosene type jet fuel excl. biofuels (kt),light_oil-non-energy-use,process,,
NONENUSE,Other kerosene (kt),light_oil-non-energy-use,process,,
NONENUSE,Other Kerosene (kt),light_oil-non-energy-use,process,,
NONENUSE,Naphtha (kt),light_oil-non-energy-use,process,,
NONENUSE,White spirit & SBP (kt),light_oil-non-energy-use,process,,
NONENUSE,Biogasoline (kt),light_oil-non-energy-use,process,,
NONENUSE,Other liquid biofuels (kt),light_oil-non-energy-use,process,,
,,,,,
NONENUSE,Crude/NGL/feedstocks (if no detail) (kt),heavy_oil-non-energy-use,process,,
NONENUSE,Fuel oil (kt),heavy_oil-non-energy-use,process,,
NONENUSE,Bitumen (kt),heavy_oil-non-energy-use,process,,
NONENUSE,Paraffin waxes (kt),heavy_oil-non-energy-use,process,,
NONENUSE,Petroleum coke (kt),heavy_oil-non-energy-use,process,,
NONENUSE,Other oil products (kt),heavy_oil-non-energy-use,process,,
,,,,,
NONENUSE,Hard coal (if no detail) (kt),hard_coal-non-energy-use,process,,
NONENUSE,Anthracite (kt),hard_coal-non-energy-use,process,,
NONENUSE,Coking coal (kt),hard_coal-non-energy-use,process,,
NONENUSE,Other bituminous coal (kt),hard_coal-non-energy-use,process,,
NONENUSE,Sub-bituminous coal (kt),hard_coal-non-energy-use,process,,
NONENUSE,Patent fuel (kt),hard_coal-non-energy-use,process,,
NONENUSE,Gas coke (kt),hard_coal-non-energy-use,process,,
NONENUSE,Coal tar (kt),hard_coal-non-energy-use,process,,
NONENUSE,BKB (kt),hard_coal-non-energy-use,process,,
,,,,,
NONENUSE,Brown coal (if no detail) (kt),brown_coal-non-energy-use,process,,
NONENUSE,Lignite (kt),brown_coal-non-energy-use,process,,
NONENUSE,Peat (kt),brown_coal-non-energy-use,process,,
,,,,,
NONENUSE,Natural gas (TJ-gross),natural_gas-non-energy-use,process,,
NONENUSE,Natural Gas (TJ-gross),natural_gas-non-energy-use,process,,
NONENUSE,Gas works gas (TJ-gross),natural_gas-non-energy-use,process,,
NONENUSE,Coke oven gas (TJ-gross),natural_gas-non-energy-use,process,,
NONENUSE,Blast furnace gas (TJ-gross),natural_gas-non-energy-use,process,,
NONENUSE,Other recovered gases (TJ-gross),natural_gas-non-energy-use,process,,
NONENUSE,Refinery gas (kt),natural_gas-non-energy-use,process,,
NONENUSE,Biogases (TJ-net),natural_gas-non-energy-use,process,,
